Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"392997282666",Audio & Visual Equip.(radio) HYUNDAI ELANTRA 17 18 PN:96160-F2101,,436CB085-A513-4EE9-96EE-CE4D90590593,"1","FIXED_PRICE","USD",68.99,,,68.99,"0","0","","Oct-30-20 19:48:01 PDT","Aug-30-26 19:48:01 PDT","Car Stereos & Head Units","174119","","","Used","","","","","","US","","",""
"393001266856",Info-gps-tv Screen CADILLAC SRX 11 12 PN:20882398H,,EB383D7D-478A-4D97-9549-6BA9B5CAAC39,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-03-20 15:30:01 PST","Sep-03-26 15:30:01 PDT","Other Interior Parts & Accessories","9887","","","Used","","","","","","US","","",""
"393001273507",Front Right Passenger Side Door Hinge CADILLAC SRX Right 12,,CCA704E6-2B0F-4087-8D95-94C1DADA8558,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-03-20 15:37:01 PST","Sep-03-26 15:37:01 PDT","Exterior Locks & Lock Hardware","33648","","","Used","","","","","","US","","",""
"393001289446",Front Console roof sunroof CADILLAC SRX 12 13 PN:22770273,,758582F8-2755-42EE-BA96-17C525612D9A,"1","FIXED_PRICE","USD",100.0,,,100.0,"0","0","","Nov-03-20 15:58:32 PST","Sep-03-26 15:58:32 PDT","Center & Overhead Consoles","262188","","","Used","","","","","","US","","",""
"393001302129",Rear Left Driver Side Door Trim Panel CADILLAC SRX 12 Black,,2C44E5D4-81D5-4E3E-9C4B-6C22CD3A63CC,"1","FIXED_PRICE","USD",128.85,,,128.85,"0","0","","Nov-03-20 16:11:01 PST","Sep-03-26 16:11:01 PDT","Door Panels","33696","","","Used","","","","","","US","","",""
"393001335089",Brake Pedal KIA OPTIMA 11 12 13 14 15 16 17,,92816D12-65AC-44B7-A0CD-8A6EF9CE59FA,"1","FIXED_PRICE","USD",42.25,,,42.25,"0","0","","Nov-03-20 16:49:15 PST","Sep-03-26 16:49:15 PDT","Pedal Assemblies, Pads & Parts","33700","","","Used","","","","","","US","","",""
"393001335145",Engine / motor Brain Box ECU ECM KIA OPTIMA 15 PN:39108-2GBH1,,C6580A6C-0B72-46DA-AA00-E6A6589222D7,"1","FIXED_PRICE","USD",47.42,,,47.42,"0","0","","Nov-03-20 16:49:20 PST","Sep-03-26 16:49:20 PDT","ECUs & Computer Modules","33596","","","Used","","","","","","US","","",""
"393001433280",Master Cylinder KIA OPTIMA 11 12 13 14 15 2.4L VIN 7 (8th digit)HAS ABS,,74F1C1F7-F60E-496D-90D8-CDD46AB7BDF2,"1","FIXED_PRICE","USD",36.25,,,36.25,"0","0","","Nov-03-20 18:23:25 PST","Sep-03-26 18:23:25 PDT","Master Cylinders","33566","","","Used","","","","","","US","","",""
"393001433539",Speedometer KIA OPTIMA 14 15 (cluster) MPH 2.4L w/o LCD display,,49553E8A-007D-43F6-8FC1-A890DC3DD52F,"1","FIXED_PRICE","USD",37.04,,,37.04,"0","0","","Nov-03-20 18:23:35 PST","Sep-03-26 18:23:35 PDT","Individual Gauges","262192","","","Used","","","","","","US","","",""
"393001434200",Throttle Body / valve Assy KIA OPTIMA 11 12 13 14 15 2.4L VIN 7 2.4L,,3EA65C59-D67A-4D45-B326-E32D31A537E1,"1","FIXED_PRICE","USD",45.07,,,45.07,"0","0","","Nov-03-20 18:24:18 PST","Sep-03-26 18:24:18 PDT","Throttle Bodies","33558","","","Used","","","","","","US","","",""
"393002593446",Door Rear Right Passenger Side Regulator NISSAN ROGUE SPORT 18 19 20,,28EE5E4F-E271-4D46-92F8-7D69912AA7CB,"1","FIXED_PRICE","USD",100.0,,,100.0,"0","0","","Nov-04-20 14:41:04 PST","Sep-04-26 14:41:04 PDT","Window Motors & Regulators","33706","","","Used","","","","","","US","","",""
"393002598435",Door Switch Rear NISSAN ROGUE SPORT 19,,50283E30-5A1A-47E8-A2E8-6C0D031BDFBD,"0","FIXED_PRICE","USD",32.63,,,32.63,"1","0","0","Nov-04-20 14:45:37 PST","Sep-04-26 14:45:37 PDT","Door Panels","33696","","","Used","","","","","","US","","",""
"393002621700",Rear Left Driver Side Door Window Regulator NISSAN ALTIMA Left 14 15 16 17 18,,B34EE084-2565-4AC5-8B84-C6B37AB84049,"1","FIXED_PRICE","USD",44.84,,,44.84,"0","0","","Nov-04-20 15:08:47 PST","Sep-04-26 15:08:47 PDT","Window Motors & Regulators","33706","","","Used","","","","","","US","","",""
"393002665176",Cadillac SRX Dash Vent Trim Right Passenger Side 15894314,,4AB3E7C6-E57C-4501-9F5D-C431CC276ED8,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","1","","Nov-04-20 15:54:25 PST","Sep-04-26 15:54:25 PDT","Trim","33705","","","Used","","","","","","US","","",""
"393002665292",Speedometer CADILLAC SRX 12 (3.6L) MPH,,BE5BBB64-B27D-4BDB-86B9-9654E62103E1,"1","FIXED_PRICE","USD",41.78,,,41.78,"0","0","","Nov-04-20 15:54:40 PST","Sep-04-26 15:54:40 PDT","Individual Gauges","262192","","","Used","","","","","","US","","",""
"393002665372",Heater Core/element CADILLAC SRX 10 11 12 13 14 15 16,,6985963A-231B-4F60-A062-A37CB8F9085B,"1","FIXED_PRICE","USD",45.07,,,45.07,"0","0","","Nov-04-20 15:54:50 PST","Sep-04-26 15:54:50 PDT","Heater Cores","262081","","","Used","","","","","","US","","",""
"393002665411",Air Cond. Evaporator CADILLAC SRX 11 12 13 14 15 16,,E7DDF57A-C655-4263-81A5-4A6CF2D147F5,"1","FIXED_PRICE","USD",36.64,,,36.64,"0","0","","Nov-04-20 15:54:54 PST","Sep-04-26 15:54:54 PDT","A/C Evaporators","33547","","","Used","","","","","","US","","",""
"393002702829",22774058 - 10 11 12 CADILLAC SRX REAR PASSENGER RIGHT DOOR WIRE HARNESS,,F74DFE62-820E-42FE-80F8-D324D367164E,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-04-20 16:36:12 PST","Sep-04-26 16:36:12 PDT","Switches & Controls","50459","","","Used","","","","","","US","","",""
"393002702923",15894308 - LEFT DRIVER SIDE DASH OUTER AC AIR VENT CADILLAC SRX 10 11 12 13 14,,F7C7484F-F674-4011-A16C-52D67904B3C9,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-04-20 16:36:15 PST","Sep-04-26 16:36:15 PDT","Dash Panels","262191","","","Used","","","","","","US","","",""
"393002703318",Hood Shock CADILLAC SRX 10 11 12 13 14 15 16 15884559,,208DF554-3CCD-4B23-932F-C5B2614CC29C,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-04-20 16:36:41 PST","Sep-04-26 16:36:41 PDT","Other Exterior Parts & Accessories","14769","","","Used","","","","","","US","","",""
"393005761981",Air Cond./heater Vents KIA OPTIMA 13 14 15 16 LEFT OUTER,,EAC79901-30B3-4AB3-852D-93442418095B,"1","FIXED_PRICE","USD",36.25,,,36.25,"0","0","","Nov-06-20 18:37:41 PST","Sep-06-26 18:37:41 PDT","Other Interior Parts & Accessories","9887","","","Used","","","","","","US","","",""
"393005762049",KIA OPTIMA 14 15 Body Control BCM LH dash conventional ignition (ID 954002T815),,36DBA612-8BE8-47FB-B2FC-8B472C47E1AC,"1","FIXED_PRICE","USD",46.56,,,46.56,"0","0","","Nov-06-20 18:37:54 PST","Sep-06-26 18:37:54 PDT","Other Ignition Systems & Components","46101","","","Used","","","","","","US","","",""
"393006976630",AC Control HYUNDAI ELANTRA 17 18 97250F2230RETautomatic temperature control,,C996EE4F-6318-4919-889C-176D3FAAB3FC,"1","FIXED_PRICE","USD",47.42,,,47.42,"0","0","","Nov-07-20 18:58:55 PST","Sep-07-26 18:58:55 PDT","HVAC Controls & Control Units","33545","","","Used","","","","","","US","","",""
"393006976667",HYUNDAI ELANTRA 17 18 19 PN: 85820-F3000 - Trim Assembly-Front Pillar RH,,55ED83B5-39F5-4722-8F1C-66B2D607F475,"1","FIXED_PRICE","USD",34.29,,,34.29,"0","0","","Nov-07-20 18:59:00 PST","Sep-07-26 18:59:00 PDT","Other Car & Truck Parts & Accessories","9886","","","Used","","","","","","US","","",""
"393006976844",Wire Harness (door) HYUNDAI ELANTRA 17 18 19 9150-F3010 Rear Left Dooe,,10EEADE7-6AF4-444D-B5B7-29D01219A6B9,"1","FIXED_PRICE","USD",26.94,,,26.94,"0","0","","Nov-07-20 18:59:21 PST","Sep-07-26 18:59:21 PDT","Switches & Controls","50459","","","Used","","","","","","US","","",""
"393008988498",CADILLAC SRX 10 11 12 20824584 control panel (opt UYE) heated seat (opt KA1),,DE0D437D-5369-4366-9A99-91732A8B88BC,"1","FIXED_PRICE","USD",65.97,,,65.97,"0","0","","Nov-09-20 08:54:46 PST","Sep-09-26 08:54:46 PDT","Car Stereos & Head Units","174119","","","Used","","","","","","US","","",""
"393008988955",Door Latch CADILLAC SRX Rear Left Driver Side 10 11 12,,5FDF7290-E296-48E7-BC2A-351E9CAE6B5F,"0","FIXED_PRICE","USD",65.97,,,65.97,"1","0","0","Nov-09-20 08:55:04 PST","Sep-09-26 08:55:04 PDT","Exterior Locks & Lock Hardware","33648","","","Used","","","","","","US","","",""
"393009017996",Seat Belt CADILLAC SRX Rear Right Passenger Side 10 11 12 13 14 15 16,,186A180D-C585-4128-9198-5F3119952FC8,"1","FIXED_PRICE","USD",40.31,,,40.31,"0","0","","Nov-09-20 09:22:23 PST","Sep-09-26 09:22:23 PDT","Seat Belts & Parts","33725","","","Used","","","","","","US","","",""
"393009018053",Rear Left Driver Side Door Hinge CADILLAC SRX 10 11 12 13 14 15 16,,185412D0-3EE3-4333-BB40-C6EB81B5ACC8,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-09-20 09:22:32 PST","Sep-09-26 09:22:32 PDT","Exterior Locks & Lock Hardware","33648","","","Used","","","","","","US","","",""
"393009018056",Rear Door Latch CADILLAC SRX Right 10 11 12,,F06CB9F2-5C82-42E9-94E8-6B19975692C4,"1","FIXED_PRICE","USD",29.15,,,29.15,"0","0","","Nov-09-20 09:22:32 PST","Sep-09-26 09:22:32 PDT","Exterior Locks & Lock Hardware","33648","","","Used","","","","","","US","","",""
"393009018095",Rear Right Passenger Side Door Hinge CADILLAC SRX Right 11 12 13 14 15 16,,2AD81881-D99C-4519-8B53-64DA8A98528C,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-09-20 09:22:36 PST","Sep-09-26 09:22:36 PDT","Exterior Locks & Lock Hardware","33648","","","Used","","","","","","US","","",""
"393009018098",CADILLAC SRX 12 13583303 Temperature (center dash),,8768BC2E-6495-4F7D-BD67-ECE670BC5302,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-09-20 09:22:36 PST","Sep-09-26 09:22:36 PDT","Other Ignition Systems & Components","46101","","","Used","","","","","","US","","",""
"393009018119",CADILLAC SRX 10 11 12 Driver Assist (LH inner quarter) (park assist),,02E1F51E-EBF6-4D74-B03D-EAFF549AE243,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-09-20 09:22:40 PST","Sep-09-26 09:22:40 PDT","Other Ignition Systems & Components","46101","","","Used","","","","","","US","","",""
"393009245208",52437252 CLIMATE CONTROL ACTUATOR HEATER REGULATOR CADILLAC SRX 11 12 13 14,,363DE59B-BA20-46F0-BAAC-26BACDE7788F,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-09-20 10:23:31 PST","Sep-09-26 10:23:31 PDT","Other Car & Truck Parts & Accessories","9886","","","Used","","","","","","US","","",""
"393009245316",20935387 - CADILLAC SRX REAR LEFT DOOR SPEAKER OEM Bose,,925F46AC-BD4C-4903-9427-AC66BF3E6A38,"0","FIXED_PRICE","USD",25.0,,,25.0,"1","2","0","Nov-09-20 10:23:36 PST","Sep-09-26 10:23:36 PDT","Other Car & Truck Parts & Accessories","9886","","","Used","","","","","","US","","",""
"393009245685",13504287 CADILLAC SRX 10 11Theft-Lckng theft deterrent (below console),,03D9D6C7-8554-41B2-9C96-C0962E1E5EEB,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-09-20 10:23:47 PST","Sep-09-26 10:23:47 PDT","Other Ignition Systems & Components","46101","","","Used","","","","","","US","","",""
"393009245776",Door Window Switch Rear Right CADILLAC SRX 12 20987821,,4313BD6D-5133-4910-B659-0240910BB46D,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-09-20 10:23:50 PST","Sep-09-26 10:23:50 PDT","Door Panels","33696","","","Used","","","","","","US","","",""
"393009245849",PN:20935387 - Cadillac SRX Rear Right Door Bose Speaker,,CD6AD768-94F9-434A-89B5-8543559383BC,"1","FIXED_PRICE","USD",25.0,,,25.0,"0","0","","Nov-09-20 10:23:51 PST","Sep-09-26 10:23:51 PDT","Other Car & Truck Parts & Accessories","9886","","","Used","","","","","","US","","",""
